,country,population,cases,deaths,day
121,Mozambique,33089461.0,"{'new': None, 'active': 2676, 'critical': 11, 'recovered': 228805, '1M_pop': '7064', 'total': 233731}","{'new': None, '1M_pop': '68', 'total': 2250}",2024-09-28
122,Martinique,374087.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '615777', 'total': 230354}","{'new': None, '1M_pop': '2946', 'total': 1102}",2024-09-28
123,Laos,7481023.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '29270', 'total': 218970}","{'new': None, '1M_pop': '101', 'total': 758}",2024-09-28
124,Iceland,345393.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '607731', 'total': 209906}","{'new': None, '1M_pop': '663', 'total': 229}",2024-09-28
125,Guadeloupe,399794.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '508349', 'total': 203235}","{'new': None, '1M_pop': '2554', 'total': 1021}",2024-09-28
126,El-Salvador,6550389.0,"{'new': None, 'active': 18215, 'critical': None, 'recovered': 179410, '1M_pop': '30816', 'total': 201855}","{'new': None, '1M_pop': '646', 'total': 4230}",2024-09-28
127,Ethiopia,120812698.0,"{'new': None, 'active': 5412, 'critical': None, 'recovered': 488171, '1M_pop': '4148', 'total': 501157}","{'new': None, '1M_pop': '63', 'total': 7574}",2024-09-28
128,R&eacute;union,908061.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '544672', 'total': 494595}","{'new': None, '1M_pop': '1014', 'total': 921}",2024-09-28
129,Honduras,10221247.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '46432', 'total': 474590}","{'new': None, '1M_pop': '1092', 'total': 11165}",2024-09-28
130,Armenia,2971966.0,"{'new': None, 'active': 7892, 'critical': None, 'recovered': 435162, '1M_pop': '152031', 'total': 451831}","{'new': None, '1M_pop': '2953', 'total': 8777}",2024-09-28
131,Bosnia-and-Herzegovina,3249317.0,"{'new': None, 'active': 8143, 'critical': None, 'recovered': 379084, '1M_pop': '124215', 'total': 403615}","{'new': None, '1M_pop': '5044', 'total': 16388}",2024-09-28
132,Oman,5323993.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '75028', 'total': 399449}","{'new': None, '1M_pop': '869', 'total': 4628}",2024-09-28
133,Luxembourg,642371.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '609044', 'total': 391232}","{'new': None, '1M_pop': '1918', 'total': 1232}",2024-09-28
134,North-Macedonia,2081304.0,"{'new': None, 'active': 3523, 'critical': None, 'recovered': 337068, '1M_pop': '168436', 'total': 350567}","{'new': None, '1M_pop': '4793', 'total': 9976}",2024-09-28
135,Zambia,19470234.0,"{'new': None, 'active': 3919, 'critical': None, 'recovered': 341316, '1M_pop': '17940', 'total': 349304}","{'new': None, '1M_pop': '209', 'total': 4069}",2024-09-28
136,Kenya,56215221.0,"{'new': None, 'active': 1132, 'critical': None, 'recovered': 337309, '1M_pop': '6122', 'total': 344130}","{'new': None, '1M_pop': '101', 'total': 5689}",2024-09-28
137,Brunei,445431.0,"{'new': None, 'active': 99893, 'critical': 3, 'recovered': 243601, '1M_pop': '771655', 'total': 343719}","{'new': None, '1M_pop': '505', 'total': 225}",2024-09-28
138,Albania,2866374.0,"{'new': None, 'active': 1025, 'critical': None, 'recovered': 330233, '1M_pop': '116825', 'total': 334863}","{'new': None, '1M_pop': '1258', 'total': 3605}",2024-09-28
139,Botswana,2441162.0,"{'new': None, 'active': 788, 'critical': 1, 'recovered': 327049, '1M_pop': '135443', 'total': 330638}","{'new': None, '1M_pop': '1147', 'total': 2801}",2024-09-28
140,Venezuela,29266991.0,"{'new': '+10', 'active': 302, 'critical': 31, 'recovered': 546537, '1M_pop': '18885', 'total': 552695}","{'new': None, '1M_pop': '200', 'total': 5856}",2024-09-28
141,Egypt,106156692.0,"{'new': None, 'active': 49228, 'critical': 122, 'recovered': 442182, '1M_pop': '4861', 'total': 516023}","{'new': None, '1M_pop': '232', 'total': 24613}",2024-09-28
142,Qatar,2979915.0,"{'new': '+28', 'active': 147, 'critical': 16, 'recovered': 513687, '1M_pop': '172664', 'total': 514524}","{'new': None, '1M_pop': '232', 'total': 690}",2024-09-28
143,Bahrain,1783983.0,"{'new': None, 'active': 60, 'critical': None, 'recovered': 727915, '1M_pop': '408944', 'total': 729549}","{'new': None, '1M_pop': '882', 'total': 1574}",2024-09-28
144,Cyprus,1223387.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 679745, '1M_pop': '556741', 'total': 681110}","{'new': None, '1M_pop': '1116', 'total': 1365}",2024-09-28
145,Dominican-Republic,11056370.0,"{'new': None, 'active': 190, 'critical': 4, 'recovered': 671316, '1M_pop': '61131', 'total': 675890}","{'new': None, '1M_pop': '397', 'total': 4384}",2024-09-28
146,Sri-Lanka,21575842.0,"{'new': None, 'active': 5, 'critical': None, 'recovered': 655852, '1M_pop': '31181', 'total': 672754}","{'new': None, '1M_pop': '783', 'total': 16897}",2024-09-28
147,Kuwait,4380326.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '152308', 'total': 667158}","{'new': None, '1M_pop': '587', 'total': 2570}",2024-09-28
148,Myanmar,55227143.0,"{'new': None, 'active': 2219, 'critical': None, 'recovered': 620159, '1M_pop': '11622', 'total': 641873}","{'new': None, '1M_pop': '353', 'total': 19495}",2024-09-28
149,Moldova,4013171.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '158265', 'total': 635145}","{'new': None, '1M_pop': '3044', 'total': 12218}",2024-09-28
150,Estonia,1321910.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '475123', 'total': 628070}","{'new': None, '1M_pop': '2270', 'total': 3001}",2024-09-28
151,Palestine,5345541.0,"{'new': None, 'active': 159, 'critical': None, 'recovered': 615445, '1M_pop': '116173', 'total': 621008}","{'new': None, '1M_pop': '1011', 'total': 5404}",2024-09-28
152,Libya,7040745.0,"{'new': None, 'active': 2, 'critical': None, 'recovered': 500835, '1M_pop': '72048', 'total': 507274}","{'new': None, '1M_pop': '914', 'total': 6437}",2024-09-28
153,Belarus,9432800.0,"{'new': None, 'active': 1327, 'critical': None, 'recovered': 985592, '1M_pop': '105381', 'total': 994037}","{'new': None, '1M_pop': '755', 'total': 7118}",2024-09-28
154,Tunisia,12046656.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '95741', 'total': 1153361}","{'new': None, '1M_pop': '2442', 'total': 29423}",2024-09-28
155,Cuba,11305652.0,"{'new': None, 'active': 61, 'critical': None, 'recovered': 1106660, '1M_pop': '98645', 'total': 1115251}","{'new': None, '1M_pop': '754', 'total': 8530}",2024-09-28
156,Ecuador,18113361.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 1034145, '1M_pop': '59083', 'total': 1070188}","{'new': None, '1M_pop': '1990', 'total': 36043}",2024-09-28
157,UAE,10081785.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '105837', 'total': 1067030}","{'new': None, '1M_pop': '233', 'total': 2349}",2024-09-28
158,Panama,4446964.0,"{'new': None, 'active': 64, 'critical': 16, 'recovered': 1051102, '1M_pop': '238341', 'total': 1059893}","{'new': None, '1M_pop': '1962', 'total': 8727}",2024-09-28
159,Uruguay,3496016.0,"{'new': None, 'active': 2503, 'critical': 18, 'recovered': 1030944, '1M_pop': '297799', 'total': 1041111}","{'new': None, '1M_pop': '2192', 'total': 7664}",2024-09-28
160,Mongolia,3378078.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 1009212, '1M_pop': '299429', 'total': 1011496}","{'new': None, '1M_pop': '676', 'total': 2284}",2024-09-28
161,Nepal,30225582.0,"{'new': None, 'active': 97, 'critical': None, 'recovered': 991322, '1M_pop': '33199', 'total': 1003450}","{'new': None, '1M_pop': '398', 'total': 12031}",2024-09-28
162,Latvia,1848837.0,"{'new': None, 'active': 4384, 'critical': None, 'recovered': 971406, '1M_pop': '531418', 'total': 982505}","{'new': None, '1M_pop': '3632', 'total': 6715}",2024-09-28
163,Saudi-Arabia,35844909.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '23475', 'total': 841469}","{'new': None, '1M_pop': '269', 'total': 9646}",2024-09-28
164,Paraguay,7305843.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '114648', 'total': 837602}","{'new': None, '1M_pop': '2759', 'total': 20155}",2024-09-28
165,Azerbaijan,10300205.0,"{'new': None, 'active': 745, 'critical': None, 'recovered': 824089, '1M_pop': '81089', 'total': 835234}","{'new': None, '1M_pop': '1010', 'total': 10400}",2024-09-28
166,Kazakhstan,19205043.0,"{'new': '+63', 'active': 14963, 'critical': 24, 'recovered': 1383020, '1M_pop': '73514', 'total': 1411831}","{'new': None, '1M_pop': '721', 'total': 13848}",2024-09-28
167,Pakistan,229488994.0,"{'new': None, 'active': 12583, 'critical': None, 'recovered': 1538689, '1M_pop': '6893', 'total': 1581936}","{'new': None, '1M_pop': '134', 'total': 30664}",2024-09-28
168,Finland,5554960.0,"{'new': None, 'active': 170, 'critical': None, 'recovered': 1503989, '1M_pop': '272930', 'total': 1516117}","{'new': None, '1M_pop': '2153', 'total': 11958}",2024-09-28
169,Norway,5511370.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 1503094, '1M_pop': '273930', 'total': 1509732}","{'new': None, '1M_pop': '1204', 'total': 6638}",2024-09-28
170,Lithuania,2661708.0,"{'new': None, 'active': 431, 'critical': None, 'recovered': 1387478, '1M_pop': '525154', 'total': 1397806}","{'new': None, '1M_pop': '3718', 'total': 9897}",2024-09-28
171,Slovenia,2078034.0,"{'new': None, 'active': 22, 'critical': None, 'recovered': 1349424, '1M_pop': '652803', 'total': 1356546}","{'new': None, '1M_pop': '3417', 'total': 7100}",2024-09-28
172,Bulgaria,6844597.0,"{'new': None, 'active': 8159, 'critical': 22, 'recovered': 1292944, '1M_pop': '195753', 'total': 1339851}","{'new': None, '1M_pop': '5661', 'total': 38748}",2024-09-28
173,Croatia,4059286.0,"{'new': None, 'active': 32609, 'critical': None, 'recovered': 1258432, '1M_pop': '322650', 'total': 1309728}","{'new': None, '1M_pop': '4604', 'total': 18687}",2024-09-28
174,Guatemala,18584039.0,"{'new': None, 'active': 1113, 'critical': 5, 'recovered': 1269891, '1M_pop': '69484', 'total': 1291293}","{'new': None, '1M_pop': '1092', 'total': 20289}",2024-09-28
175,Morocco,37772756.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '33860', 'total': 1278992}","{'new': None, '1M_pop': '432', 'total': 16303}",2024-09-28
176,Lebanon,6684849.0,"{'new': None, 'active': 145299, 'critical': 74, 'recovered': 1087587, '1M_pop': '186068', 'total': 1243838}","{'new': None, '1M_pop': '1638', 'total': 10952}",2024-09-28
177,Costa-Rica,5182354.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '239058', 'total': 1238883}","{'new': None, '1M_pop': '1819', 'total': 9428}",2024-09-28
178,Bolivia,11992656.0,"{'new': None, 'active': 12579, 'critical': 220, 'recovered': 1177145, '1M_pop': '101073', 'total': 1212131}","{'new': None, '1M_pop': '1868', 'total': 22407}",2024-09-28
179,Jordan,10300869.0,"{'new': None, 'active': 1868, 'critical': 59, 'recovered': 1731007, '1M_pop': '169597', 'total': 1746997}","{'new': None, '1M_pop': '1371', 'total': 14122}",2024-09-28
180,Denmark,5834950.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 3174942, '1M_pop': '545636', 'total': 3183756}","{'new': None, '1M_pop': '1511', 'total': 8814}",2024-09-28
181,Singapore,5943546.0,"{'new': None, 'active': 0, 'critical': 4, 'recovered': 3004131, '1M_pop': '505785', 'total': 3006155}","{'new': None, '1M_pop': '341', 'total': 2024}",2024-09-28
182,Hong-Kong,7604299.0,"{'new': None, 'active': 6680, 'critical': None, 'recovered': 2916005, '1M_pop': '386309', 'total': 2937609}","{'new': None, '1M_pop': '1963', 'total': 14924}",2024-09-28
183,Sweden,10218971.0,"{'new': None, 'active': 230, 'critical': None, 'recovered': 2726492, '1M_pop': '269511', 'total': 2754129}","{'new': None, '1M_pop': '2682', 'total': 27407}",2024-09-28
184,New-Zealand,4898203.0,"{'new': None, 'active': 1623, 'critical': None, 'recovered': 2613791, '1M_pop': '535117', 'total': 2621111}","{'new': None, '1M_pop': '1163', 'total': 5697}",2024-09-28
185,Serbia,8653016.0,"{'new': None, 'active': 389, 'critical': None, 'recovered': 2596608, '1M_pop': '302213', 'total': 2615054}","{'new': None, '1M_pop': '2087', 'total': 18057}",2024-09-28
186,Iraq,42164965.0,"{'new': None, 'active': 673, 'critical': None, 'recovered': 2439497, '1M_pop': '58474', 'total': 2465545}","{'new': None, '1M_pop': '602', 'total': 25375}",2024-09-28
187,Hungary,9606259.0,"{'new': None, 'active': 29029, 'critical': None, 'recovered': 2152155, '1M_pop': '232164', 'total': 2230232}","{'new': None, '1M_pop': '5106', 'total': 49048}",2024-09-28
188,Bangladesh,167885689.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '12207', 'total': 2049377}","{'new': None, '1M_pop': '176', 'total': 29493}",2024-09-28
189,Slovakia,5460193.0,"{'new': None, 'active': 0, 'critical': 23, 'recovered': 1856381, '1M_pop': '343872', 'total': 1877605}","{'new': None, '1M_pop': '3887', 'total': 21224}",2024-09-28
190,Georgia,3968738.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '469082', 'total': 1861665}","{'new': None, '1M_pop': '4317', 'total': 17132}",2024-09-28
191,Ireland,5020199.0,"{'new': None, 'active': 170, 'critical': 19, 'recovered': 1724921, '1M_pop': '345521', 'total': 1734582}","{'new': None, '1M_pop': '1891', 'total': 9491}",2024-09-28
192,DPRK,25990679.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 4772739, '1M_pop': '183636', 'total': 4772813}","{'new': None, '1M_pop': '3', 'total': 74}",2024-09-28
193,South-Africa,60756135.0,"{'new': '+614', 'active': 61362, 'critical': 192, 'recovered': 3912506, '1M_pop': '67095', 'total': 4076463}","{'new': None, '1M_pop': '1689', 'total': 102595}",2024-09-28
194,Chile,19250195.0,"{'new': None, 'active': 67906, 'critical': 7, 'recovered': 5252450, '1M_pop': '279730', 'total': 5384853}","{'new': None, '1M_pop': '3350', 'total': 64497}",2024-09-28
195,Malaysia,33181072.0,"{'new': None, 'active': 7790, 'critical': 11, 'recovered': 5233268, '1M_pop': '159079', 'total': 5278406}","{'new': None, '1M_pop': '1126', 'total': 37348}",2024-09-28
196,Canada,38388419.0,"{'new': None, 'active': 5744, 'critical': 99, 'recovered': 4881312, '1M_pop': '128843', 'total': 4946090}","{'new': None, '1M_pop': '1538', 'total': 59034}",2024-09-28
197,Belgium,11668278.0,"{'new': None, 'active': 521, 'critical': None, 'recovered': 4826798, '1M_pop': '416659', 'total': 4861695}","{'new': None, '1M_pop': '2946', 'total': 34376}",2024-09-28
198,Israel,9326000.0,"{'new': None, 'active': 30592, 'critical': None, 'recovered': 4798473, '1M_pop': '519169', 'total': 4841772}","{'new': None, '1M_pop': '1363', 'total': 12707}",2024-09-28
199,Thailand,70078203.0,"{'new': None, 'active': 42927, 'critical': None, 'recovered': 4692636, '1M_pop': '68069', 'total': 4770149}","{'new': None, '1M_pop': '494', 'total': 34586}",2024-09-28
200,Czechia,10736784.0,"{'new': None, 'active': 318, 'critical': 2, 'recovered': 4715206, '1M_pop': '443246', 'total': 4759041}","{'new': None, '1M_pop': '4053', 'total': 43517}",2024-09-28
201,Peru,33684208.0,"{'new': None, 'active': 0, 'critical': 4, 'recovered': 4350506, '1M_pop': '135751', 'total': 4572667}","{'new': None, '1M_pop': '6595', 'total': 222161}",2024-09-28
202,Switzerland,8773637.0,"{'new': None, 'active': 292, 'critical': None, 'recovered': 4438309, '1M_pop': '507549', 'total': 4453053}","{'new': None, '1M_pop': '1647', 'total': 14452}",2024-09-28
203,Philippines,112508994.0,"{'new': None, 'active': 6138, 'critical': None, 'recovered': 4067381, '1M_pop': '36800', 'total': 4140383}","{'new': None, '1M_pop': '594', 'total': 66864}",2024-09-28
204,Romania,19031335.0,"{'new': None, 'active': 657, 'critical': 21, 'recovered': 3460149, '1M_pop': '185470', 'total': 3529735}","{'new': None, '1M_pop': '3622', 'total': 68929}",2024-09-28
205,Ukraine,43192122.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 5445577, '1M_pop': '128681', 'total': 5557995}","{'new': None, '1M_pop': '2603', 'total': 112418}",2024-09-28
206,Vietnam,98953541.0,"{'new': None, 'active': 941018, 'critical': None, 'recovered': 10640971, '1M_pop': '117481', 'total': 11625195}","{'new': None, '1M_pop': '437', 'total': 43206}",2024-09-28
207,Taiwan,23888595.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 10222518, '1M_pop': '428720', 'total': 10241523}","{'new': None, '1M_pop': '796', 'total': 19005}",2024-09-28
208,Argentina,46010234.0,"{'new': None, 'active': 746, 'critical': None, 'recovered': 9997258, '1M_pop': '220143', 'total': 10128845}","{'new': None, '1M_pop': '2844', 'total': 130841}",2024-09-28
209,Netherlands,17211447.0,"{'new': None, 'active': 195, 'critical': None, 'recovered': 8612599, '1M_pop': '501747', 'total': 8635786}","{'new': None, '1M_pop': '1336', 'total': 22992}",2024-09-28
210,Mexico,131562772.0,"{'new': None, 'active': 467986, 'critical': None, 'recovered': 6899865, '1M_pop': '58549', 'total': 7702809}","{'new': None, '1M_pop': '2546', 'total': 334958}",2024-09-28
211,Iran,86022837.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '88665', 'total': 7627186}","{'new': None, '1M_pop': '1707', 'total': 146811}",2024-09-28
212,Indonesia,279134505.0,"{'new': None, 'active': 20054, 'critical': None, 'recovered': 6647104, '1M_pop': '24466', 'total': 6829221}","{'new': None, '1M_pop': '581', 'total': 162063}",2024-09-28
213,Poland,37739785.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '176524', 'total': 6661991}","{'new': None, '1M_pop': '3196', 'total': 120598}",2024-09-28
214,Colombia,51512762.0,"{'new': None, 'active': 44821, 'critical': 342, 'recovered': 6212152, '1M_pop': '124244', 'total': 6400173}","{'new': None, '1M_pop': '2780', 'total': 143200}",2024-09-28
215,Greece,10316637.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '591412', 'total': 6101379}","{'new': None, '1M_pop': '3671', 'total': 37869}",2024-09-28
216,Austria,9066710.0,"{'new': None, 'active': 3811, 'critical': None, 'recovered': 6054934, '1M_pop': '670727', 'total': 6081287}","{'new': None, '1M_pop': '2486', 'total': 22542}",2024-09-28
217,Portugal,10140570.0,"{'new': None, 'active': 127, 'critical': 61, 'recovered': 5614809, '1M_pop': '556484', 'total': 5643062}","{'new': None, '1M_pop': '2774', 'total': 28126}",2024-09-28
218,Spain,46719142.0,"{'new': '+702', 'active': 30634, 'critical': 231, 'recovered': 13762417, '1M_pop': '297840', 'total': 13914811}","{'new': '+8', '1M_pop': '2606', 'total': 121760}",2024-09-28
219,USA,334805269.0,"{'new': None, 'active': 786167, 'critical': 940, 'recovered': 109814428, '1M_pop': '333985', 'total': 111820082}","{'new': None, '1M_pop': '3642', 'total': 1219487}",2024-09-28
220,India,1406631776.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '32016', 'total': 45035393}","{'new': None, '1M_pop': '379', 'total': 533570}",2024-09-28
221,France,65584518.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 39970918, '1M_pop': '612013', 'total': 40138560}","{'new': None, '1M_pop': '2556', 'total': 167642}",2024-09-28
222,Germany,83883596.0,"{'new': None, 'active': 405368, 'critical': None, 'recovered': 38240600, '1M_pop': '462891', 'total': 38828995}","{'new': None, '1M_pop': '2182', 'total': 183027}",2024-09-28
223,Brazil,215353593.0,"{'new': None, 'active': 1783377, 'critical': None, 'recovered': 36249161, '1M_pop': '179908', 'total': 38743918}","{'new': None, '1M_pop': '3303', 'total': 711380}",2024-09-28
224,S-Korea,51329899.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 34535939, '1M_pop': '673523', 'total': 34571873}","{'new': None, '1M_pop': '700', 'total': 35934}",2024-09-28
225,Japan,125584838.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '269169', 'total': 33803572}","{'new': None, '1M_pop': '595', 'total': 74694}",2024-09-28
226,Italy,60262770.0,"{'new': None, 'active': 165544, 'critical': 22, 'recovered': 26361218, '1M_pop': '443445', 'total': 26723249}","{'new': None, '1M_pop': '3261', 'total': 196487}",2024-09-28
227,UK,68497907.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 24678275, '1M_pop': '363666', 'total': 24910387}","{'new': None, '1M_pop': '3389', 'total': 232112}",2024-09-28
228,Russia,145805947.0,"{'new': None, 'active': 175641, 'critical': None, 'recovered': 23545818, '1M_pop': '165454', 'total': 24124215}","{'new': None, '1M_pop': '2762', 'total': 402756}",2024-09-28
229,Turkey,85561976.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '201399', 'total': 17232066}","{'new': None, '1M_pop': '1194', 'total': 102174}",2024-09-28
230,Australia,26068792.0,"{'new': None, 'active': 8716, 'critical': 3, 'recovered': 11820014, '1M_pop': '454687', 'total': 11853144}","{'new': None, '1M_pop': '937', 'total': 24414}",2024-09-28
231,North-America,,"{'new': None, 'active': 2528062, 'critical': 6095, 'recovered': 127665129, '1M_pop': None, 'total': 131889132}","{'new': None, '1M_pop': None, 'total': 1695941}",2024-09-28
232,Asia,,"{'new': None, 'active': 14273512, 'critical': 14733, 'recovered': 205673091, '1M_pop': None, 'total': 221500265}","{'new': None, '1M_pop': None, 'total': 1553662}",2024-09-28
233,Europe,,"{'new': None, 'active': 2550270, 'critical': 4453, 'recovered': 248754104, '1M_pop': None, 'total': 253406198}","{'new': None, '1M_pop': None, 'total': 2101824}",2024-09-28
234,South-America,,"{'new': None, 'active': 2149962, 'critical': 8953, 'recovered': 66683585, '1M_pop': None, 'total': 70200879}","{'new': None, '1M_pop': None, 'total': 1367332}",2024-09-28
235,Oceania,,"{'new': None, 'active': 110368, 'critical': 31, 'recovered': 14752388, '1M_pop': None, 'total': 14895771}","{'new': None, '1M_pop': None, 'total': 33015}",2024-09-28
236,Africa,,"{'new': None, 'active': 511224, 'critical': 529, 'recovered': 12090808, '1M_pop': None, 'total': 12860924}","{'new': None, '1M_pop': None, 'total': 258892}",2024-09-28
237,All,,"{'new': '0', 'active': 22123398, 'critical': 34794, 'recovered': 675619811, '1M_pop': '90413', 'total': 704753890}","{'new': '0', '1M_pop': '899.4', 'total': 7010681}",2024-09-28
